Date,Hour,Fuel,Output
2017-01-02,3,WIND,728
2017-01-02,3,SOLAR,0
2017-01-02,3,BIOFUEL,1
2017-01-02,4,NUCLEAR,11612
2017-01-02,4,GAS,236
2017-01-02,4,HYDRO,2457
2017-01-02,4,WIND,867
2017-01-02,4,SOLAR,0
2017-01-02,4,BIOFUEL,1
2017-01-02,5,NUCLEAR,11610
2017-01-02,5,GAS,236
2017-01-02,5,HYDRO,2478
2017-01-02,5,WIND,876
2017-01-02,5,SOLAR,0
2017-01-02,5,BIOFUEL,1
2017-01-02,6,NUCLEAR,11608
2017-01-02,6,GAS,235
2017-01-02,6,HYDRO,2472
2017-01-02,6,WIND,953
2017-01-02,6,SOLAR,0
2017-01-02,6,BIOFUEL,1
2017-01-02,7,NUCLEAR,11613
2017-01-02,7,GAS,238
2017-01-02,7,HYDRO,2540
2017-01-02,7,WIND,1284
2017-01-02,7,SOLAR,0
2017-01-02,7,BIOFUEL,1
2017-01-02,8,NUCLEAR,11613
2017-01-02,8,GAS,238
2017-01-02,8,HYDRO,2760
2017-01-02,8,WIND,1251
2017-01-02,8,SOLAR,2
2017-01-02,8,BIOFUEL,1
2017-01-02,9,NUCLEAR,11610
2017-01-02,9,GAS,238
2017-01-02,9,HYDRO,2919
2017-01-02,9,WIND,1570
2017-01-02,9,SOLAR,18
2017-01-02,9,BIOFUEL,1
2017-01-02,10,NUCLEAR,11601
2017-01-02,10,GAS,238
2017-01-02,10,HYDRO,3114
2017-01-02,10,WIND,1247
2017-01-02,10,SOLAR,67
2017-01-02,10,BIOFUEL,1
2017-01-02,11,NUCLEAR,11599
2017-01-02,11,GAS,237
2017-01-02,11,HYDRO,3259
2017-01-02,11,WIND,1182
2017-01-02,11,SOLAR,117
2017-01-02,11,BIOFUEL,1
2017-01-02,12,NUCLEAR,11592
2017-01-02,12,GAS,237
2017-01-02,12,HYDRO,3608
2017-01-02,12,WIND,1374
2017-01-02,12,SOLAR,117
2017-01-02,12,BIOFUEL,1
2017-01-02,13,NUCLEAR,11580
2017-01-02,13,GAS,244
2017-01-02,13,HYDRO,4160
2017-01-02,13,WIND,828
2017-01-02,13,SOLAR,107
2017-01-02,13,BIOFUEL,1
2017-01-02,14,NUCLEAR,11571
2017-01-02,14,GAS,243
2017-01-02,14,HYDRO,4177
2017-01-02,14,WIND,785
2017-01-02,14,SOLAR,94
2017-01-02,14,BIOFUEL,1
2017-01-02,15,NUCLEAR,11572
2017-01-02,15,GAS,255
2017-01-02,15,HYDRO,4096
2017-01-02,15,WIND,891
2017-01-02,15,SOLAR,38
2017-01-02,15,BIOFUEL,1
2017-01-02,16,NUCLEAR,11599
2017-01-02,16,GAS,269
2017-01-02,16,HYDRO,4256
2017-01-02,16,WIND,939
2017-01-02,16,SOLAR,8
2017-01-02,16,BIOFUEL,1
2017-01-02,17,NUCLEAR,11586
2017-01-02,17,GAS,288
2017-01-02,17,HYDRO,4546
2017-01-02,17,WIND,1140
2017-01-02,17,SOLAR,0
2017-01-02,17,BIOFUEL,1
2017-01-02,18,NUCLEAR,11582
2017-01-02,18,GAS,417
2017-01-02,18,HYDRO,5008
2017-01-02,18,WIND,1635
2017-01-02,18,SOLAR,0
2017-01-02,18,BIOFUEL,1
2017-01-02,19,NUCLEAR,11581
2017-01-02,19,GAS,427
2017-01-02,19,HYDRO,4904
2017-01-02,19,WIND,1709
2017-01-02,19,SOLAR,0
2017-01-02,19,BIOFUEL,1
2017-01-02,20,NUCLEAR,11582
2017-01-02,20,GAS,426
2017-01-02,20,HYDRO,5230
2017-01-02,20,WIND,1711
2017-01-02,20,SOLAR,0
2017-01-02,20,BIOFUEL,1
2017-01-02,21,NUCLEAR,11572
2017-01-02,21,GAS,431
2017-01-02,21,HYDRO,5005
2017-01-02,21,WIND,1554
2017-01-02,21,SOLAR,0
2017-01-02,21,BIOFUEL,1
2017-01-02,22,NUCLEAR,11565
2017-01-02,22,GAS,399
2017-01-02,22,HYDRO,4815
2017-01-02,22,WIND,883
2017-01-02,22,SOLAR,0
2017-01-02,22,BIOFUEL,1
2017-01-02,23,NUCLEAR,11563
2017-01-02,23,GAS,628
2017-01-02,23,HYDRO,4049
2017-01-02,23,WIND,786
2017-01-02,23,SOLAR,0
2017-01-02,23,BIOFUEL,2
2017-01-02,24,NUCLEAR,11572
2017-01-02,24,GAS,549
2017-01-02,24,HYDRO,2991
2017-01-02,24,WIND,715
2017-01-02,24,SOLAR,0
2017-01-02,24,BIOFUEL,1
2017-01-03,1,NUCLEAR,11574
2017-01-03,1,GAS,267
2017-01-03,1,HYDRO,3027
2017-01-03,1,WIND,841
2017-01-03,1,SOLAR,0
2017-01-03,1,BIOFUEL,11
2017-01-03,2,NUCLEAR,11582
2017-01-03,2,GAS,237
2017-01-03,2,HYDRO,2789
2017-01-03,2,WIND,1034
2017-01-03,2,SOLAR,0
2017-01-03,2,BIOFUEL,11
2017-01-03,3,NUCLEAR,11592
2017-01-03,3,GAS,237
2017-01-03,3,HYDRO,2757
2017-01-03,3,WIND,1386
2017-01-03,3,SOLAR,0
2017-01-03,3,BIOFUEL,11
2017-01-03,4,NUCLEAR,11597
2017-01-03,4,GAS,235
2017-01-03,4,HYDRO,2772
2017-01-03,4,WIND,848
2017-01-03,4,SOLAR,0
2017-01-03,4,BIOFUEL,11
2017-01-03,5,NUCLEAR,11591
2017-01-03,5,GAS,247
2017-01-03,5,HYDRO,2905
2017-01-03,5,WIND,851
2017-01-03,5,SOLAR,0
2017-01-03,5,BIOFUEL,12
2017-01-03,6,NUCLEAR,11589
2017-01-03,6,GAS,258
2017-01-03,6,HYDRO,3106
2017-01-03,6,WIND,1042
2017-01-03,6,SOLAR,0
2017-01-03,6,BIOFUEL,17
2017-01-03,7,NUCLEAR,11588
2017-01-03,7,GAS,265
2017-01-03,7,HYDRO,3578
2017-01-03,7,WIND,995
2017-01-03,7,SOLAR,0
2017-01-03,7,BIOFUEL,23
2017-01-03,8,NUCLEAR,11593
2017-01-03,8,GAS,437
2017-01-03,8,HYDRO,4141
2017-01-03,8,WIND,703
2017-01-03,8,SOLAR,0
2017-01-03,8,BIOFUEL,27
2017-01-03,9,NUCLEAR,11587
2017-01-03,9,GAS,532
2017-01-03,9,HYDRO,4625
